Country,ESG_Policy_Strength,Market_Risk_Index,ROI (%),Carbon_Reduction (kT),Debt_to_Equity_Ratio
UK,8.22,18.65,9.02,447.4,1.4
France,1.67,4.08,5.59,189.4,0.62
Germany,9.88,59.09,4.94,485.3,0.48
France,7.95,67.76,10.09,104.9,0.51
France,2.79,1.66,10.1,488.0,0.42
China,1.05,51.21,10.67,117.3,0.5
Germany,8.34,22.65,11.13,456.5,1.15
Germany,7.36,64.52,7.11,311.1,0.48
Germany,7.56,17.44,7.02,497.2,0.75
France,7.94,69.09,9.98,129.5,1.33
UK,1.67,38.67,8.5,321.5,0.43
Germany,4.23,93.67,9.02,487.7,1.3
Japan,2.04,13.75,9.96,309.2,0.71
France,8.77,34.11,10.9,351.8,0.53
China,6.61,11.35,5.38,378.3,1.17
UK,3.98,92.47,5.76,281.8,1.09
Japan,1.57,87.73,2.94,351.0,1.37
Japan,3.8,25.79,7.78,333.7,1.21
China,3.93,66.0,2.36,460.5,1.28
UK,7.57,81.72,6.66,118.2,0.71
France,6.74,55.52,7.43,212.4,0.6
USA,8.98,52.97,4.87,480.2,1.23
UK,5.25,24.19,7.91,456.1,1.29
China,2.08,9.31,2.31,282.3,1.49
Japan,7.42,89.72,2.37,348.1,0.85
France,7.85,90.04,10.23,211.0,0.81
UK,6.05,63.31,5.6,175.2,1.25
USA,7.94,33.9,3.27,285.5,0.77
USA,5.44,34.92,7.22,241.3,1.42
Germany,5.7,72.6,9.7,333.5,1.34
Germany,4.85,89.71,4.16,131.1,0.87
China,1.23,88.71,8.23,489.8,1.23
UK,1.97,77.99,2.85,494.5,1.23
UK,1.28,64.2,2.52,379.3,0.51
Japan,6.73,8.41,7.31,314.4,1.39
Japan,3.83,16.16,7.41,223.8,0.96
Japan,5.58,89.86,8.37,425.5,1.31
Germany,9.17,60.64,9.26,373.9,0.75
UK,3.24,0.92,11.76,165.0,1.39
UK,4.69,10.15,7.16,464.4,0.83
USA,7.8,66.35,5.23,429.0,0.41
Germany,3.06,0.51,9.95,479.9,1.4
France,1.69,16.08,4.71,390.3,0.5
Germany,3.61,54.87,6.39,345.4,0.75
France,2.45,69.19,2.78,267.3,1.45
USA,9.37,65.2,2.25,473.1,1.45
China,8.27,22.43,11.63,446.4,1.03
UK,6.7,71.22,10.36,118.1,1.1
USA,8.84,23.72,8.96,110.5,0.89
UK,8.23,32.54,6.09,250.6,0.72
Japan,2.68,74.65,3.73,424.2,0.76
China,9.03,64.96,3.56,494.9,1.14
China,5.85,84.92,4.5,160.2,1.23
USA,8.27,65.76,7.49,337.7,1.27
China,9.06,56.83,9.15,252.4,1.27
France,3.86,9.37,8.6,488.0,0.5
China,1.99,36.77,4.8,436.8,0.94
UK,3.05,26.52,11.55,435.3,0.46
UK,4.84,24.4,9.38,287.5,1.0
UK,8.36,97.3,7.54,265.9,0.89
UK,8.75,39.31,8.12,209.4,1.38
France,1.06,89.2,6.2,122.6,0.79
Germany,5.6,63.11,4.48,445.9,0.53
Japan,4.76,79.48,5.56,425.2,0.56
USA,3.0,50.26,9.58,499.9,1.24
UK,2.08,57.69,2.14,498.7,1.08
China,4.04,49.25,3.16,322.2,0.51
UK,9.49,19.52,2.46,407.6,0.49
China,3.91,72.25,2.41,477.9,1.17
Japan,5.67,28.08,10.55,439.9,0.48
Japan,7.33,2.43,9.04,198.9,1.3
Japan,4.27,64.55,6.74,280.2,1.18
China,9.75,17.71,2.98,151.7,0.49
UK,9.66,94.05,6.92,481.6,0.49
Japan,3.27,95.39,6.73,342.5,1.49
France,5.48,91.49,3.73,191.5,0.81
China,3.71,37.02,6.34,368.7,0.81
China,3.56,1.55,5.99,347.3,1.29
UK,1.33,92.83,8.16,243.3,1.44
China,6.49,42.82,8.35,145.4,1.48
China,5.52,96.67,2.45,368.6,1.23
Japan,1.46,96.36,5.75,308.1,0.81
UK,3.51,85.3,8.26,408.9,0.49
Japan,9.17,29.44,7.03,308.1,1.25
Japan,3.16,38.51,10.56,440.9,1.01
UK,2.3,85.11,8.59,320.8,0.87
USA,5.41,31.69,3.63,324.4,1.4
Japan,9.87,16.95,2.71,450.7,0.52
France,3.18,55.68,8.42,261.4,0.94
France,7.05,93.62,2.27,153.6,0.41
China,7.85,69.6,7.86,111.5,0.92
France,3.14,57.01,11.4,402.1,0.46
China,7.55,9.72,7.75,348.1,0.53
USA,4.31,61.5,5.88,381.6,0.53
UK,6.69,99.01,8.43,185.2,1.11
UK,6.7,14.01,6.58,154.5,1.22
UK,5.82,51.83,7.46,105.8,1.04
France,1.81,87.74,11.41,240.2,1.46
USA,8.52,74.08,5.86,336.0,0.81
France,3.89,69.7,11.61,256.9,0.71
